"Date","MKT","SMB","HML"
1986-07-31,-0.057711594164671,-0.0361024123711529,0.0263187267621946
1986-08-31,0.0688953669786003,-0.0464681699443894,0.0451032515636397
1986-09-30,-0.0834490008635722,0.0212506110589709,0.0415372001321261
1986-10-31,0.051703650844277,-0.0222325275687692,-0.0205915044356785
1986-11-30,0.0166527685248446,-0.0111467787604066,-0.00683185629680402
1986-12-31,-0.0271834707097965,-0.000658220117712275,0.00394884077986973
1987-01-31,0.13083888582338,-0.0177331068880351,-0.0300033432380702
1987-02-28,0.0462891119025312,0.0380663917503873,-0.0451241845681364
1987-03-31,0.0173672799228228,-0.00327528233274019,0.00694815482477945
1987-04-30,-0.0146042427444618,-0.0142387026654518,0.00194689573311714
1987-05-31,0.00512055614813667,-0.00906035881066511,0.00392068986274695
1987-06-30,0.0457448037257364,-0.0260457968401212,0.0123860630981447
1987-07-31,0.0414640746544876,-0.001884254032161,-0.0109277819745987
1987-08-31,0.0420173856127452,-0.00860617306211153,-0.0108994767917385
1987-09-30,-0.019687653714992,0.00191302720048266,-0.000741592904893288
1987-10-31,-0.220292235620832,-0.0888733502922759,0.0540863939997402
1987-11-30,-0.0760097724316314,0.0259776279205919,0.0346352955649196
1987-12-31,0.0697277249034263,0.00622480534707745,-0.0632750931207976
1988-01-31,0.0434993159088184,-0.00792690671258712,0.0673193191857372
1988-02-29,0.0489462999496012,0.0414877027045983,-0.024801929273426
1988-03-31,-0.0210419345580591,0.0687960445353897,0.000482713636018237
1988-04-30,0.00903241477455663,0.013662218181921,-0.00671476104655379
1988-05-31,0.00345694492693844,-0.0307708650851568,0.0276728181947859
1988-06-30,0.0518554863860254,0.0231126301211333,-0.00645195991469702
1988-07-31,-0.00950495717572429,0.00204939379793299,0.0134079756257774
1988-08-31,-0.0274323008648205,0.000325545442313228,0.0295249945457707
1988-09-30,0.0399134813447862,-0.00909251072723406,-0.0107730940382453
1988-10-31,0.0165276493537847,-0.0304786420272913,0.0128474102961031
1988-11-30,-0.0164498188329057,-0.0126036802669663,0.0125240073454936
1988-12-31,0.0220305282510201,0.0223536503548902,-0.0137391485392212
1989-01-31,0.066007701546936,-0.0200243300412448,-0.00643641423191792
1989-02-28,-0.0192535931442445,0.0283030226389973,0.0119051052266993
1989-03-31,0.0217332794154814,0.00470950819068813,-0.000533407477945391
1989-04-30,0.0519622087065144,-0.00941775017874461,-0.0157262719590829
1989-05-31,0.0403533380208594,-0.00244149143205291,-0.00325794780472451
1989-06-30,-0.00510102891690377,-0.0142721253147981,0.0285924112142762
1989-07-31,0.0809104817376623,-0.0348328561453545,-0.0286074045583069
1989-08-31,0.0203091449475652,0.00936231160911704,-0.00766940664441441
1989-09-30,-0.00122222032089087,0.00915106303390781,-0.0253861229484045
1989-10-31,-0.026495388747262,-0.0166052768994182,-0.0210315688612206
1989-11-30,0.0187799238221932,-0.00875566147433403,-0.0205154574027117
1989-12-31,0.0197787970635408,-0.0190098395825315,-0.0168102509407345
1990-01-31,-0.0703741346322465,-0.00201055279679062,0.014468601903557
1990-02-28,0.0158273110589495,0.0157616053876257,-0.0068428660144209
1990-03-31,0.0248558219479652,0.0222548489660904,-0.0308466346341041
1990-04-30,-0.0265525046341792,0.0156623203847771,-0.0381693408784064
1990-05-31,0.0912696898170302,-0.0191963340953529,-0.0536691957499942
1990-06-30,-0.00513680938008208,0.0142020276902683,-0.0163004021411778
1990-07-31,-0.0098946640298194,-0.0176452644800894,-0.0132885358097947
1990-08-31,-0.0911057707365659,-0.0202672020887746,0.0083215707746053
1990-09-30,-0.0524790797159799,-0.0121027744107399,-0.0160857046604116
1990-10-31,-0.00762467272316633,-0.0361359929153772,-0.0381052747814702
1990-11-30,0.0687914906058966,-0.0116240816997489,-0.0127627238184515
1990-12-31,0.0299974961751426,-0.000487469527994572,-0.0199627560692538
1991-01-31,0.0496208369008729,0.0397928039924256,0.0159764959058509
1991-02-28,0.0765703455419358,0.0287995074700696,0.0141574690518211
1991-03-31,0.0295732414106192,0.0383289292829437,-0.00669468961525905
1991-04-30,0.00288745822626752,0.000937529028716001,0.0205806740731366
1991-05-31,0.0390352545716151,0.00669816925575657,-0.010607074177935
1991-06-30,-0.0440121161826538,0.0066465568489121,0.0089502177244534
1991-07-31,0.0472928268814999,-0.0136639136099015,-0.00848409626866997
1991-08-31,0.0278755597206999,0.00240924522482073,-0.0160392154820415
1991-09-30,-0.0128597056543991,0.0210996489454748,-0.0157557783424094
1991-10-31,0.0182877021661335,-0.00836427774134761,0.00982681653920655
1991-11-30,-0.0367906986739257,0.00265536153402748,-0.000277730946169716
1991-12-31,0.109508068723535,-0.0360993465435064,-0.0470279483777465
1992-01-31,-0.00532148782908649,0.0909637642613062,0.0506753684828698
1992-02-29,0.0132807860293123,0.0188029986520757,0.0565941374875659
1992-03-31,-0.0215400683537028,0.000194789198274939,0.0179315596404349
1992-04-30,0.0208488795285961,-0.0574909314898067,0.0362956370058531
1992-05-31,0.00679941963462653,-0.00324882692375187,0.021755372147085
1992-06-30,-0.0184661075855571,-0.0188460003922507,0.0231894249136451
1992-07-31,0.0399458827882977,-0.00282660646211683,0.00373195784240919
1992-08-31,-0.0193855901319125,0.00407279396004052,-0.00591976970645642
1992-09-30,0.0129448976999422,0.00683872072739418,0.000553207110556016
1992-10-31,0.0102900657737249,0.0170173438438463,-0.00946451281268963
1992-11-30,0.0407755681370568,0.0484078241164115,-0.0165280124162383
1992-12-31,0.0168821852055981,0.017148255382342,0.0275676052614781
1993-01-31,0.0108872022209915,0.022974543274423,0.0522123676598615
